original,paraphrase,bleu_score
matikan televisi di ruang tamu,matikan televisi di ruang tamu,1.0
putar musik favorit saya,musik musik favorit saya,0.43146827293898643
bagikan lokasi saya sekarang,bagikan lokasi saya sekarang,1.0
matikan televisi di ruang tamu,matikan televisi di ruang tamu,1.0
putar musik favorit saya,musik musik favorit saya,0.43146827293898643
buka tirai ruang tamu,buka tirai ruang tamu,1.0
bagikan lokasi saya sekarang,bagikan lokasi saya sekarang,1.0
atur penerangan ke dua puluh persen,atur penerangan ke dua puluh persen,1.0
nyalakan lampu kamar tidur,nyalakan lampu kamar tidur,1.0
aktifkan mode malam,aktifkan mode malam,0.5757197301274735
aktifkan mode malam,aktifkan mode malam,0.5757197301274735
atur penerangan ke dua puluh persen,atur penerangan ke dua puluh persen,1.0
putar musik favorit saya,musik musik favorit saya,0.43146827293898643
tingkatkan suhu ruangan dua derajat,tingkatkan suhu ruangan dua derajat,1.0
setel alarm untuk jam enam pagi,setel alarm untuk jam enam pagi,1.0
putar musik favorit saya,musik musik favorit saya,0.43146827293898643
atur penerangan ke dua puluh persen,atur penerangan ke dua puluh persen,1.0
atur penerangan ke dua puluh persen,atur penerangan ke dua puluh persen,1.0
buka tirai ruang tamu,buka tirai ruang tamu,1.0
matikan televisi di ruang tamu,matikan televisi di ruang tamu,1.0
